timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-19T22:54:12+08:00,RPA-app,19.70%,26.32MiB / 2GiB,1.29%,17.1MB / 19.6MB,8.16MB / 0B,8
2026-06-19T22:54:12+08:00,RPA-alloy,5.60%,119.5MiB / 15.4GiB,0.76%,1.53MB / 36.4MB,31.3MB / 14.8MB,25
2026-06-19T22:54:12+08:00,RPA-grafana,0.14%,114.5MiB / 15.4GiB,0.73%,7.06MB / 15.9MB,120MB / 16MB,26
2026-06-19T22:54:12+08:00,rmqbroker,4.89%,1.085GiB / 15.4GiB,7.05%,3.25MB / 3.74MB,1.92GB / 2.28GB,327
2026-06-19T22:54:12+08:00,RPA-pgdb,13.99%,64.6MiB / 15.4GiB,0.41%,352MB / 1.37GB,76.4MB / 1.66GB,14
2026-06-19T22:54:12+08:00,RPA-loki,0.85%,248.4MiB / 15.4GiB,1.58%,232MB / 135MB,237MB / 1.69GB,26
2026-06-19T22:54:12+08:00,rmqdashboard,0.06%,368.6MiB / 15.4GiB,2.34%,3.63MB / 1.44MB,601MB / 815MB,67
2026-06-19T22:54:12+08:00,RPA-prometheus,0.64%,272.7MiB / 15.4GiB,1.73%,458MB / 39.9MB,376MB / 214MB,26
2026-06-19T22:54:12+08:00,RPA-redis,0.15%,6.426MiB / 15.4GiB,0.04%,41.3MB / 168MB,19.7MB / 6.98MB,7
2026-06-19T22:54:12+08:00,RPA-minio,0.00%,182.2MiB / 15.4GiB,1.16%,174MB / 35.5MB,262MB / 710MB,34
2026-06-19T22:54:12+08:00,rmqnamesrv,0.11%,142.1MiB / 15.4GiB,0.90%,4.72MB / 2.79MB,208MB / 484MB,81
2026-06-19T22:54:12+08:00,RPA-cadvisor,3.64%,287.6MiB / 15.4GiB,1.82%,7.13MB / 407MB,204MB / 23.7MB,29
2026-06-19T22:54:12+08:00,script-k6-run-acd5e6ab2adf,22.69%,46.95MiB / 15.4GiB,0.30%,149kB / 148kB,4.1kB / 0B,26
2026-06-19T22:54:15+08:00,script-k6-run-acd5e6ab2adf,20.41%,58.62MiB / 15.4GiB,0.37%,503kB / 495kB,4.1kB / 0B,26
2026-06-19T22:54:15+08:00,RPA-app,18.28%,25.96MiB / 2GiB,1.27%,18.3MB / 20.8MB,8.16MB / 0B,8
2026-06-19T22:54:15+08:00,RPA-alloy,5.83%,119.7MiB / 15.4GiB,0.76%,1.53MB / 36.5MB,31.3MB / 14.9MB,25
2026-06-19T22:54:15+08:00,RPA-grafana,0.15%,114.5MiB / 15.4GiB,0.73%,7.06MB / 15.9MB,120MB / 16MB,26
2026-06-19T22:54:15+08:00,rmqbroker,5.18%,1.086GiB / 15.4GiB,7.05%,3.25MB / 3.74MB,1.92GB / 2.28GB,327
2026-06-19T22:54:15+08:00,RPA-pgdb,13.21%,63.41MiB / 15.4GiB,0.40%,353MB / 1.37GB,76.4MB / 1.67GB,14
2026-06-19T22:54:15+08:00,RPA-loki,0.95%,249.6MiB / 15.4GiB,1.58%,232MB / 135MB,237MB / 1.69GB,26
2026-06-19T22:54:15+08:00,rmqdashboard,0.09%,368.6MiB / 15.4GiB,2.34%,3.63MB / 1.44MB,601MB / 816MB,67
2026-06-19T22:54:15+08:00,RPA-prometheus,0.00%,272.2MiB / 15.4GiB,1.73%,458MB / 39.9MB,376MB / 214MB,26
2026-06-19T22:54:15+08:00,RPA-redis,0.14%,6.426MiB / 15.4GiB,0.04%,41.3MB / 168MB,19.7MB / 6.98MB,7
2026-06-19T22:54:15+08:00,RPA-minio,0.03%,182.2MiB / 15.4GiB,1.16%,174MB / 35.5MB,262MB / 710MB,34
2026-06-19T22:54:15+08:00,rmqnamesrv,0.12%,142.1MiB / 15.4GiB,0.90%,4.72MB / 2.79MB,208MB / 484MB,81
2026-06-19T22:54:15+08:00,RPA-cadvisor,4.26%,287.8MiB / 15.4GiB,1.83%,7.13MB / 407MB,204MB / 23.7MB,29
2026-06-19T22:54:18+08:00,script-k6-run-acd5e6ab2adf,14.49%,60.04MiB / 15.4GiB,0.38%,854kB / 846kB,4.1kB / 0B,26
2026-06-19T22:54:18+08:00,RPA-app,17.14%,27.01MiB / 2GiB,1.32%,19.4MB / 21.9MB,8.78MB / 0B,8
2026-06-19T22:54:18+08:00,RPA-alloy,7.59%,139.5MiB / 15.4GiB,0.89%,1.53MB / 36.5MB,49.5MB / 14.9MB,25
2026-06-19T22:54:18+08:00,RPA-grafana,0.13%,114.5MiB / 15.4GiB,0.73%,7.06MB / 15.9MB,120MB / 16MB,26
2026-06-19T22:54:18+08:00,rmqbroker,5.09%,1.086GiB / 15.4GiB,7.05%,3.25MB / 3.74MB,1.92GB / 2.28GB,327
2026-06-19T22:54:18+08:00,RPA-pgdb,12.26%,64.13MiB / 15.4GiB,0.41%,354MB / 1.37GB,76.4MB / 1.68GB,14
2026-06-19T22:54:18+08:00,RPA-loki,4.27%,245MiB / 15.4GiB,1.55%,233MB / 135MB,237MB / 1.69GB,26
2026-06-19T22:54:18+08:00,rmqdashboard,0.17%,368.6MiB / 15.4GiB,2.34%,3.63MB / 1.44MB,601MB / 816MB,67
2026-06-19T22:54:18+08:00,RPA-prometheus,0.03%,272.2MiB / 15.4GiB,1.73%,458MB / 39.9MB,376MB / 214MB,26
2026-06-19T22:54:18+08:00,RPA-redis,0.18%,6.426MiB / 15.4GiB,0.04%,41.3MB / 168MB,19.7MB / 6.98MB,7
2026-06-19T22:54:18+08:00,RPA-minio,0.00%,182.2MiB / 15.4GiB,1.16%,174MB / 35.5MB,262MB / 710MB,34
2026-06-19T22:54:18+08:00,rmqnamesrv,0.23%,142.4MiB / 15.4GiB,0.90%,4.72MB / 2.79MB,208MB / 484MB,81
2026-06-19T22:54:18+08:00,RPA-cadvisor,10.41%,292.9MiB / 15.4GiB,1.86%,7.13MB / 407MB,204MB / 23.7MB,29
2026-06-19T22:54:21+08:00,script-k6-run-acd5e6ab2adf,14.63%,60.32MiB / 15.4GiB,0.38%,1.2MB / 1.2MB,4.1kB / 0B,26
2026-06-19T22:54:21+08:00,RPA-app,17.60%,27.8MiB / 2GiB,1.36%,20.6MB / 23.1MB,8.78MB / 0B,8
2026-06-19T22:54:21+08:00,RPA-alloy,5.80%,139MiB / 15.4GiB,0.88%,1.53MB / 36.6MB,49.5MB / 14.9MB,25
2026-06-19T22:54:21+08:00,RPA-grafana,0.21%,114.7MiB / 15.4GiB,0.73%,7.07MB / 15.9MB,120MB / 16MB,26
2026-06-19T22:54:21+08:00,rmqbroker,5.02%,1.086GiB / 15.4GiB,7.05%,3.25MB / 3.74MB,1.92GB / 2.28GB,327
2026-06-19T22:54:21+08:00,RPA-pgdb,12.97%,63.73MiB / 15.4GiB,0.40%,355MB / 1.37GB,76.4MB / 1.69GB,14
2026-06-19T22:54:21+08:00,RPA-loki,0.92%,244.8MiB / 15.4GiB,1.55%,233MB / 135MB,237MB / 1.69GB,26
2026-06-19T22:54:21+08:00,rmqdashboard,0.08%,368.6MiB / 15.4GiB,2.34%,3.63MB / 1.44MB,601MB / 816MB,67
2026-06-19T22:54:21+08:00,RPA-prometheus,0.06%,272.2MiB / 15.4GiB,1.73%,458MB / 39.9MB,376MB / 214MB,26
2026-06-19T22:54:21+08:00,RPA-redis,0.15%,6.426MiB / 15.4GiB,0.04%,41.3MB / 168MB,19.7MB / 6.98MB,7
2026-06-19T22:54:21+08:00,RPA-minio,0.02%,182.2MiB / 15.4GiB,1.16%,174MB / 35.5MB,262MB / 710MB,34
2026-06-19T22:54:21+08:00,rmqnamesrv,0.12%,142.1MiB / 15.4GiB,0.90%,4.72MB / 2.79MB,208MB / 484MB,81
2026-06-19T22:54:21+08:00,RPA-cadvisor,3.42%,305.8MiB / 15.4GiB,1.94%,7.13MB / 407MB,204MB / 23.7MB,29
2026-06-19T22:54:24+08:00,script-k6-run-acd5e6ab2adf,13.44%,64.75MiB / 15.4GiB,0.41%,1.55MB / 1.54MB,4.1kB / 0B,26
2026-06-19T22:54:24+08:00,RPA-app,16.93%,26.85MiB / 2GiB,1.31%,21.8MB / 24.3MB,8.78MB / 0B,8
2026-06-19T22:54:24+08:00,RPA-alloy,5.52%,139.7MiB / 15.4GiB,0.89%,1.54MB / 36.6MB,49.5MB / 15MB,25
2026-06-19T22:54:24+08:00,RPA-grafana,0.15%,114.5MiB / 15.4GiB,0.73%,7.07MB / 15.9MB,120MB / 16MB,26
2026-06-19T22:54:24+08:00,rmqbroker,4.66%,1.087GiB / 15.4GiB,7.06%,3.25MB / 3.74MB,1.92GB / 2.28GB,327
2026-06-19T22:54:24+08:00,RPA-pgdb,12.16%,64.2MiB / 15.4GiB,0.41%,356MB / 1.37GB,76.4MB / 1.7GB,14
2026-06-19T22:54:24+08:00,RPA-loki,0.41%,244.2MiB / 15.4GiB,1.55%,233MB / 135MB,237MB / 1.69GB,26
2026-06-19T22:54:24+08:00,rmqdashboard,0.09%,368.6MiB / 15.4GiB,2.34%,3.63MB / 1.44MB,601MB / 816MB,67
2026-06-19T22:54:24+08:00,RPA-prometheus,0.00%,272.2MiB / 15.4GiB,1.73%,458MB / 39.9MB,376MB / 214MB,26
2026-06-19T22:54:24+08:00,RPA-redis,0.14%,6.426MiB / 15.4GiB,0.04%,41.3MB / 168MB,19.7MB / 6.98MB,7
2026-06-19T22:54:24+08:00,RPA-minio,0.08%,182.5MiB / 15.4GiB,1.16%,174MB / 35.5MB,262MB / 710MB,34
2026-06-19T22:54:24+08:00,rmqnamesrv,0.15%,142.2MiB / 15.4GiB,0.90%,4.72MB / 2.79MB,208MB / 484MB,81
2026-06-19T22:54:24+08:00,RPA-cadvisor,3.53%,312.9MiB / 15.4GiB,1.98%,7.13MB / 407MB,204MB / 23.7MB,29
2026-06-19T22:54:27+08:00,script-k6-run-acd5e6ab2adf,14.09%,67.35MiB / 15.4GiB,0.43%,1.91MB / 1.89MB,4.1kB / 0B,26
2026-06-19T22:54:27+08:00,RPA-app,17.78%,27.86MiB / 2GiB,1.36%,23MB / 25.5MB,8.78MB / 0B,8
2026-06-19T22:54:27+08:00,RPA-alloy,5.78%,139.2MiB / 15.4GiB,0.88%,1.54MB / 36.7MB,49.5MB / 15MB,25
2026-06-19T22:54:27+08:00,RPA-grafana,0.15%,114.5MiB / 15.4GiB,0.73%,7.07MB / 15.9MB,120MB / 16MB,26
2026-06-19T22:54:27+08:00,rmqbroker,5.76%,1.087GiB / 15.4GiB,7.06%,3.25MB / 3.74MB,1.92GB / 2.28GB,327
2026-06-19T22:54:27+08:00,RPA-pgdb,12.84%,75.27MiB / 15.4GiB,0.48%,357MB / 1.38GB,76.4MB / 1.7GB,19
2026-06-19T22:54:27+08:00,RPA-loki,1.09%,244.5MiB / 15.4GiB,1.55%,233MB / 135MB,237MB / 1.69GB,26
2026-06-19T22:54:27+08:00,rmqdashboard,0.06%,368.6MiB / 15.4GiB,2.34%,3.63MB / 1.44MB,601MB / 816MB,67
2026-06-19T22:54:27+08:00,RPA-prometheus,0.88%,272.6MiB / 15.4GiB,1.73%,459MB / 39.9MB,376MB / 214MB,26
2026-06-19T22:54:27+08:00,RPA-redis,0.14%,6.426MiB / 15.4GiB,0.04%,41.3MB / 168MB,19.7MB / 6.98MB,7
2026-06-19T22:54:27+08:00,RPA-minio,0.04%,182.2MiB / 15.4GiB,1.16%,174MB / 35.5MB,262MB / 710MB,34
2026-06-19T22:54:27+08:00,rmqnamesrv,0.11%,142.2MiB / 15.4GiB,0.90%,4.72MB / 2.79MB,208MB / 484MB,81
2026-06-19T22:54:27+08:00,RPA-cadvisor,2.82%,288.3MiB / 15.4GiB,1.83%,7.14MB / 407MB,204MB / 23.7MB,29
